architecture,source,target,seed,method,n,prevalence,roc_auc,average_precision,brier,ece10,accuracy,balanced_accuracy,sensitivity,specificity,predicted_positive_rate,mean_probability
single_head,cleveland,hungary,0,source_only,294,0.36054421768707484,0.8741971095945404,0.826337821539274,0.14261422541159868,0.10165298836888609,0.7993197278911565,0.7978221597751907,0.7924528301886793,0.8031914893617021,0.41156462585034015,0.4289640839984577
single_head,cleveland,hungary,0,pseudo_label_sfda,294,0.36054421768707484,0.8729425933360095,0.8250591090868753,0.14454502868740562,0.09278534444090183,0.8095238095238095,0.7996286631874749,0.7641509433962265,0.8351063829787234,0.38095238095238093,0.405479065718313
single_head,cleveland,hungary,0,entropy_sfda,294,0.36054421768707484,0.8722902448815737,0.8227558073459101,0.14253516843523906,0.0859629099358659,0.8095238095238095,0.7955138498594941,0.7452830188679245,0.8457446808510638,0.3673469387755102,0.3910099107702421
single_head,cleveland,hungary,0,reliability_gated_sfda,294,0.36054421768707484,0.873896025692493,0.8257956775398907,0.14270738590565893,0.09881072385604082,0.7959183673469388,0.7931051786431152,0.7830188679245284,0.8031914893617021,0.40816326530612246,0.4260567858954575
single_head,cleveland,hungary,0,conservative_candidate,294,0.36054421768707484,0.8737454837414693,0.8254779737908458,0.14215532592183264,0.10296041591308353,0.7959183673469388,0.7931051786431152,0.7830188679245284,0.8031914893617021,0.40816326530612246,0.42596339716316284
single_head,cleveland,hungary,1,source_only,294,0.36054421768707484,0.88031914893617,0.843666557239936,0.13577963455827113,0.0974049602324764,0.7993197278911565,0.7978221597751907,0.7924528301886793,0.8031914893617021,0.41156462585034015,0.42369954524321013
single_head,cleveland,hungary,1,pseudo_label_sfda,294,0.36054421768707484,0.8790144520272983,0.8419618789697474,0.13843455758854234,0.08650573316429344,0.8061224489795918,0.7990264953833802,0.7735849056603774,0.824468085106383,0.391156462585034,0.41063508372373725
single_head,cleveland,hungary,1,entropy_sfda,294,0.36054421768707484,0.8777599357687677,0.8390898435291246,0.1367395139630002,0.08729912350936256,0.8197278911564626,0.8055499799277399,0.7547169811320755,0.8563829787234043,0.36394557823129253,0.39846158696522266
single_head,cleveland,hungary,1,reliability_gated_sfda,294,0.36054421768707484,0.8800180650341228,0.8434662042202941,0.13604082310811735,0.09469882170447992,0.8027210884353742,0.8004817342432757,0.7924528301886793,0.8085106382978723,0.40816326530612246,0.4225003051850311
single_head,cleveland,hungary,1,conservative_candidate,294,0.36054421768707484,0.8797169811320755,0.8432119633331152,0.13546233772537328,0.10038908677441734,0.8061224489795918,0.8031413087113609,0.7924528301886793,0.8138297872340425,0.40476190476190477,0.4214998593135756
single_head,cleveland,hungary,2,source_only,294,0.36054421768707484,0.8765054195102369,0.829643943359995,0.1385558548739557,0.09083956587413439,0.8027210884353742,0.7984243275792855,0.7830188679245284,0.8138297872340425,0.4013605442176871,0.4188148083741821
single_head,cleveland,hungary,2,pseudo_label_sfda,294,0.36054421768707484,0.876756322761943,0.8292594733384401,0.1388811726107966,0.09011101887599396,0.8197278911564626,0.8076073865917303,0.7641509433962265,0.851063829787234,0.3707482993197279,0.3926157583625113
single_head,cleveland,hungary,2,entropy_sfda,294,0.36054421768707484,0.8753010839020474,0.8272319429515738,0.13711732597554996,0.0745445369674704,0.8163265306122449,0.7967181854676837,0.7264150943396226,0.8670212765957447,0.3469387755102041,0.3731093289683807
